,easy_get,name,count
166,No specific crowd,"['Building disease syndrome', 'cold', 'Allergic pneumonia', 'Respiratory failure', 'Decompression disease', 'Acute respiratory failure', 'Legus disease', 'Hemoptysis', 'Hydrogen sulfide', 'influenza', 'pneumothorax', 'Avian Influenza', 'Torrel, bronchial stenosis', 'Snoring', 'Inhalation injury', 'asthma', 'Congenital pulmonary sac', 'Bacterial pneumonia', 'Chlamydia', 'Bronchial expansion', 'Single-heart room', 'Single-heart room', 'Simple limb varicose veins', 'Coronary artery termination', 'After tomorrow, three-pointed closure is not full', 'Acute cardiac function', 'Acute infectious endocarditis', 'Acute heartbuitment', 'Kehan disease', 'Reno', 'Floral thrombotic shallow veneine', 'Triple-flap', 'Three-pointed closure', 'Three-dimensional closure', 'shock', 'Angina pectoris', 'Myocardial infarction is broken and the interval', 'Myocardial infarction concurrent mitral petals close', 'Myocardial infarction', 'Heart dysfunction', 'Heart pack cyst', 'Myocardial infarction concurrent left ventricular wall tumor', 'Congenital arteriovenous fistula', 'Pericardial effusion', 'cardiac disease', 'Limited myocardial disease', 'Atrial founcing and atrial fibrillation', 'Heart bag tumor', 'Violetal rhinitis', 'Pleural effusion', 'Myocarditis', 'Heart intrinsoma', 'Ventricular interval defect', 'The aortic valve is closed', 'Carbamate pesticide poisoning', 'Amita', 'Cypress - check syndrome', 'Buca syndrome', 'Cardiac', 'Barium poisoning', 'Amylobacterium food poisoning', 'Castor poisoning', 'Intestinal strain disorder', 'Coloreal gas syndrome', 'Meteoric epicenter compression syndrome', 'Intestinal abscess', 'Belly cancer', 'Enteriletic syndrome', 'Christine poisoning', 'Meteoric epicoline embolization', 'Intestinal gas cyst', 'Blood glucose after meal', 'Exterior vein thrombosis', 'Masonic torsion', 'Biliary tension low syndrome', 'Gallbladder tube syndrome', 'Cholelorage intestinal twisted syndrome', 'Cholestasis', 'Day II syndrome', 'Protein loss gastrointestinal syndrome', 'Gallbladder - colon liver song adhesion syndrome', 'Cholelithiasis', 'Billy cirrhosis', 'Di-type viral hepatitis', 'Bile reflux gastritis', 'Colorectal cancer', 'Poison poisoning', 'Poisonous poison', 'Dacus malignant lymphoma', 'Non-ulcer digestion', 'Salmonella food poisoning', 'Germination potato poisoning', 'Liver Fibrosis', 'Gardner syndrome', 'Functional vomiting', 'Hepatitis double infection', 'Bole spread and paralysis', 'Liver abscess', 'Functional digestion', 'Hooker disease', 'Heatenetic adrenoma', 'Hepatic bile duct injury', 'liver damage', 'Hookworm duodenal intestinal inflammation syndrome', 'Diaphragm', 'Anal tube, rectum, colon', 'Pounce', 'Characterized botanical food poisoning', 'Activity', 'Black Plees - Gastrointestinal Polyps Syndrome', 'Targe, rectal black disease', 'Methanol poisoning', 'Colon rectum injury', 'Colonic fistula', 'Acute gastric mucosal lesions', 'Acute corrosive gastritis', 'Acute simple gastritis', 'Acute gastroenteritis', 'Colon polyps', 'Acute appendicitis', 'Connectile tissue enteritis', 'Acute abdominal - hyperlipidemia syndrome', 'Turcot syndrome', 'Stallic cholecystitis', 'Acute pancreatitis', 'Colon damage', 'Quinine poisoning', 'Ulcerative colitis', 'Phosphorus', 'Category cancer', 'Chloroquinate poisoning', 'Appendix parasitosis', 'Blue rubber sputum syndrome', 'Blind syndrome', 'Adhesive intestinal obstruction', 'Staphylococcus food poisoning', 'Strong acid, strong alkali poison', 'Gasoline, kerosene poisoning', 'Gasoline poisoning', 'Strong alkaliosis', 'Ischemic hepatitis', 'Insecticone poisoning', 'Arsenic poisoning', 'Hydrate chloroformolygen poisoning', 'Carbon tetrachloride poisoning', 'Esophageal foreign matter', 'Twelve reflection', 'Upper gastrointestinal bleeding', 'Twelve referral intestinal obstruction obstructive jaundice syndrome', 'Twelve intestinal context', 'Neuro food poisoning', 'Food poisoning', 'Esastoplasty', 'Eclipate', 'Esophageal smooth fibroids', 'Osteastrophe', 'Input 袢 syndrome', 'Antimony poisoning', 'Iron poison', 'Eosinophilic acid gastroenteritis', 'Idihood peritoneal fibrosis', 'Poison', 'Glycogen accumulation', 'Inevitable non-migratic gate high pressure syndrome', 'Inorganic phosphorus poisoning', 'Pentachlorophenium poisoning', 'Gastric injury', 'Stomach', 'Stomach', 'Gastrointestinal input 袢 syndrome', 'Stomach rhythm disorder syndrome', 'Stomach, duodenal ulcer acute perforation', 'Stomach, duodenal ulcer bleeding', 'Gastrointestinal food poisoning', 'Gastrinoma', 'Gastrointestinal food is not tolerance', 'Gastrointestinal dysfunction', 'Gastric mucosal strut', 'Stomach retention', 'Stomach disease', 'Anastomotic ulcer', 'Pentoviral hepatitis', 'Mesh tumor', 'Retinal inflammation', 'Stomach polyps', 'Gastropa', 'Small intestinal injury', 'Scorpion', 'Zinc poisoning', 'Small intestinal membrane damage', 'Small fistula', 'Bacterial liver abscess', 'Under dispensed path bleeding', 'Small intestine absorption adverse syndrome', 'Heart source cirrhosis', 'Bromine poisoning', 'Scholar bowel disease', 'Adverse syndrome', 'Cardiovascular and thromboembolic syndrome', 'Gastrointestinal bleeding', 'Digestive carcinoma with blood disease syndrome', 'Tight disease', 'Bacterial dysentery', 'Gastrointestinal disease', 'Organo chlorine insecticide poisoning', 'Primary hepatic hardening syndrome', 'Drug-resistant gastric disease', 'Drug-resistant cirrhosis', 'Nitrite poisoning', 'Primary peritoneal tumor', 'Fish pheromosis', 'Fish bile poisoning', 'Fungal food poisoning', 'Fungal poisoning', 'Rectal injury', 'Fungal enteritis', 'Demonstrative polygenetic polycystic kidney', 'Polycystic kidney', 'Hypertrophic dehydration', 'Hyperkalemia', 'Acute rheumatoid thermal kidney damage', 'Acute pyelonephritis', 'Acute kidney tube necrosis', 'Urgent nephritis', 'Acute renal tubular nephritis', 'Acute nephritis syndrome', 'Popular bleeding', 'Lupus nephritis', 'Rheumatoid arthritis kidney damage', 'Membrane ghm nephritis', 'Chronic pyelonephritis', 'Urethral stones', 'Sodium', 'Bladder Cancer', 'Renal tuberculosis', 'Renal water', 'Kidney and ureteral stones', 'Renal nuclear', 'Kidney', '症', 'Acute renal failure after burn', 'Kidney damage', 'Renal cyst', 'Renal cell carcinoma', 'Pyelonephritis', 'Renal artery occlusion', 'Hoof', 'Specific kidney substantive disease', 'Diabetic nephropathy', 'hematuria', 'Educational glomerulonephritis', 'Toxic nephropathy', 'Cancer neuromyopathy', 'Sleeping pill poisoning', 'Arm plexus', 'Multiple hardening', 'Multiple neuritis', 'Multiple peripheral neuritis', 'Short-liver cerebral ischemic attack', 'Diaphragm', 'Green-Bali syndrome', 'Sponge sinus thrombosis', 'coma', 'syncope', 'Cervical spondylosis', 'Acute spinal inflammation', 'Spinal cord', 'Spinal nerveitis', 'Peripheral neuritis', 'Paralytic arm', 'Cyanide poisoning', 'All plant neurological', 'Vestibular nerveitis', 'Optic neuritis', 'Optic nerve atrophy', 'Head-Holding Tumor Tumor Syndrome', 'Neurasthenia', 'Diabetic neuropathy', 'headache', 'Carbonyl nickel poison', 'Bromchrelle', 'Small dance disease', 'Halo', 'Principled nerve injury', 'Mania', 'Central nervous excitement', 'Calm, stability, hypnotics poisoning', 'Eutectic low blood pressure', 'Plant neurological disorder', 'Periodic paralysis', 'Greatness', 'Great muscles weak', 'Pillow, big neuralgia', 'Cyclical paralysis', 'Peripheral neuropathy', 'Multi-gland defect syndrome', 'Xanta', 'Respiratory alkali poisoning', 'Respirate acidosis', 'Hypothyroidism', 'Thyroid adenoma', 'Thyroid tongue cysts and fistula', 'Acute jaw', 'Acute lymphoid', 'Pseudo-parathyroid dielectric retardation', 'Secondary parathyroidism', 'Attenuate', 'Giants and limb fertilizers', 'Neck lymph node', 'Kuxin syndrome', 'Cranfurt syndrome', 'Tracheer bronchi foreign matter', 'freckle', 'Diabetes ketoacidosis', 'Diabetes', 'Mastic', 'Thymoma', 'Hematoporphyrin disease', 'Stallopathy', 'Hypothalamic disease', 'Sexual allergy', 'Adenocarcinoma', 'Undovalent cancer of parotid gland', 'Parotonuclear', 'Adenoids', 'Adenoy', 'Parodynamic mixture', 'C islet-functional beta cell tumor', 'leukemia', 'Bone marrow']",330
165,No special crowd,"['Pulmonary - pleural Amiba', 'Pulmonary hemorrhage - nephritis syndrome', 'Lungs', 'Alveolar protein', 'Pneumococcal pneumonia', 'Pulmonary embolism', 'Lungs', 'Pulmonary metastasis', 'Pulmonary fungus', 'Tuberculous suppression', 'Tracheal tumor', 'Exogenous allergic alveolar inflammation', 'Mitral stenosis', 'Mitral valve prolapse syndrome', 'Pulmonary encephalopathy', 'Rheumatic mitral valve close', 'Room tube deformity', 'Rheumatism', 'Pulmonary artery narrow', 'Room conduction block', 'Pulmonary venous fistula', 'Ehler-Danlos syndrome', 'Hye', 'Diversion hyperbolite', 'Manure round nematode disease', 'Abdominal lack of syndrome', 'Abdominal colic syndrome', 'Abdominal infection and abscess', 'Peritoneal post gap bleeding', 'Abdominal lymphadenitis', 'Peritoneal rear cavity liquid disease', 'Peritoneal hernia', 'Abdominal migraine syndrome', 'Abdominal aortic thrombosis formation syndrome', 'Felty syndrome', 'peritonitis', 'Reflux esophagitis', 'Formalin poisoning', 'Non-parasitic hepatic cyst', 'Non-alcoholic fatty liver disease', 'Non-cross arc infection', 'Hepatic hemoma', 'Acute stomach expansion', 'Acute peritonitis', 'Lymph node - biliary syndrome', 'Tourist diarrhea', 'Chronic pancreatitis', 'Milk-alkali syndrome', 'Diffuse esopasol', 'Chronic gastritis', 'Novoli virus gastrointestitis', 'Esophageal', 'Esophageal cardia mucosal tear syndrome', 'Esophageal injury', 'Gypsum syndrome', 'Twelve intestinal white point syndrome', 'Neuropathic intestinal obstruction syndrome', 'Killometers', 'Stomach syndrome', 'Gastrointestinal paralysis syndrome', 'Gastrointestinal', 'Whipple病', 'Gastrointestinal with cancer syndrome', 'Retinal cyst', 'Pseudo-film enteritis', 'Malignant hypertensive small arterial renal', 'Immunoconductive kidney disease', 'Kidney renal failure', 'Repeat deformity of kidney and ureteral', 'Neuronal bladder', 'Ureteral injury', 'Renal development', 'Renal', 'Double congenital adrenal skin hyperplasia', 'Adrenocorticular dysfunction', 'Too much water', 'Renal atherosclerosis', 'Renal tubular acidosis', 'Ear Stem Broken Qione', 'Total nerve damage', 'Phenothiazine anti-psychiatric drug poisoning', 'Charity syndrome', 'Helicitis', 'Three ring anti-worry-free drug poisoning', 'Adrenergic poisoning', 'Ning poisoning', 'Radiolation damage of nervous system', 'Hand and foot', 'Neurosis', 'Shy-Drager syndrome', 'Tongue', 'Antimony', 'Schwannoma', 'Neurosis', 'Obesity', 'Lactinum', 'Chronic lymphoid', 'Adrenal crisis', 'Tongue flat flat muscles', 'Pine fruit tumor', 'Eosinophilic adenoma', 'Vitamin C lacks disease', 'Surgeon', 'Primary aldosterone increase', 'Insulin', 'Primary parathyroidism', 'Nonone hypoglycemia - hypertonic coma', 'Composite acid-base imbalance', 'Acquisition of platelet dysfunction', 'Advanced syndrome of acquisition cycle anticoagulant', 'Hodgkin lymphoma']",111
163,No community,"['pneumonia', 'SARS', 'GoodPasture syndrome', 'Ether poisoning', 'poisoned by carbon monoxide', 'Complete major artery misplaced', 'Congenital aortic pulse', 'Congenital aortic arch malformation', 'Congenital aortic valve under narrow', 'Congenital aortic valve stenosis', 'Congenital artery catheter is not closed', 'Congenital mitral valve', 'Congenital aortic valve', 'Ethyl sinus thrombosis vermerititis', 'Left ventricular double exit', 'Main - pulmonary artery separation', 'Aortic flap stenosis combined and closed', 'Aortic aneurysm', 'Palphous intermediate', 'Pyrazolone poisoning', 'stomach ache', 'Liver cyst', 'Acute gastritis', 'Cerebral liver and kidney syndrome', 'Cystic fibrosis', 'Spleen rupture', 'Boric acid poisoning', 'Spleen function', 'Congenital intestinal rotation abnormal', 'Ethylamine pyrimidine poisoning', 'Helichannel obstruction', 'Pancreas injury', 'Pancreatic spound syndrome', 'Pseudo-cyst', 'Nutritional adverse cirrhosis', 'Pharmaceutical liver disease', 'Ectopic ACTH syndrome', 'Pancreatic bile syndrome', 'Candardizing tube shared abnormal syndrome', 'Purple - 指 - 病 syndrome', 'Bladder neck contracture', 'Primary IgA nephropathy', 'Cerebral pneumonosis', 'Brain 痪 syndrome', 'Dermatitis', 'Migraine', 'Sports neuron disease', 'Disorder', 'Organophosphorus pesticide poisoning', 'Syncope', 'Pharyngeal paralysis', 'Hereditary', 'Sports neuronal disease', 'Pharyngeal nerve sheath tumor', 'Compressive optic neuropathy', 'Endocrine eye', 'Sebaceous gland', 'Parotid cyst']",58
168,No specific group,"['Breathing gas', 'Monogeneous lung eosinophil infiltration', 'Viral myocarditis', 'Penetrating heart trauma', 'Sinus stop', 'Sinus tachycardia', 'Aneurysm', 'Enabling liver failure', 'Barrett esophagus', 'Bismuth poisoning', 'Cyclovirus hepatitis', 'intestinal obstruction', 'Multiple digestive polyp syndrome', 'Creutzfeldt-Jacob 病', 'Pure plant neurological failure', 'Optimus, pulley and exhibitivity neurological disease', 'Stool incontinence', 'Pituitary tumor', 'Adult full pituitary function reduction', 'Pituitary crisis and pitcher', 'Pituitary front impeller reduction', 'Patient short disease', 'Simple thyroid', 'Simple obesity', 'Hypoglycemic', 'Metabolic alkali poisoning', 'Metabolic acidosis', 'Thyroid mass', 'Secondary adrenal function', 'Chronic lymphoblastic thyroiditis', 'Cellular reduction and granulocyte deficiency', 'White blood disease', 'Hemorrhagic disease', 'Single red blood cell retarding anemia', 'Low calciummia and low magnesia', 'Thalassemia', 'Multiple myeloma', 'Malignant lymphoma']",38
89,Infant,"['Air congenital disease', 'Pediatric acute bronchitis', ""Child's cold"", 'Pediatric pneumonia', 'Adenovirus pneumonia', 'Three rooms', 'Complex pulmonary vein ectopic reflow', 'Congenital rubella', 'Umbilical bulging - tongue - huge physical syndrome', 'Twelve intestines are lacking, such as lack of lock and narrow', 'Frequent vomiting in the childhood', 'Digestive tract repeats deformity', 'Congenital hypertrophy', 'Congenital giant junction', 'Congenital syphilis cirrhosis', 'Acetamilide poisoning', 'Nodular hardening', 'Polysaccharide deposition disease']",18
162,Newborns,"['Neonatal respiratory distress syndrome', 'Newborn suffocation', 'Newborn lungs do not', 'Newborns apnea', 'Neonatal hardmaking', 'Left heart development', 'Colon lock', 'Concentration bile syndrome', 'Congenital biliary latitude', 'Neonatal biliary brain disease', 'Newborn vomiting', 'Neonatal hepatitis syndrome', 'Neonatal hypoglycemia and hyperglycemia']",13
248,Young child,"['Pediatric epidemic cold', 'Pediatric acute laryngitis', 'Pediatric anorexia', 'Pediatric acute gallbladder', 'Pediatric primary nephropathy syndrome', 'Pediatric urine', 'Chronic renal failure in children', 'Pediatric acute renal failure', 'Pediatric tubular acidosis', 'Pediatric tuberculosis meningitis', 'Parovirosis']",11
74,Good to the elderly,"['Elderly pneumonia', 'constipate', 'Colon feces perforation', 'Elderly acute appendicitis', 'Cardia cancer', 'Papillary adenoma', 'Gastric smooth muscle', ""Alzheimer's disease"", 'Cerebral infarction', 'Osteoporosis']",10
254,child,"['Pediatric golden stoclasm', 'Pediatric hypertension', 'Childhood', 'Micro-necrosis nephropathy', 'Acryonicity', 'Child learning ability barrier', 'Glandular fat']",7
206,Send in children,"['Bronchopneumonia', 'Child abdominal pain', 'Crossing the lower colonic embedded syndrome', 'Mitosis', ""Children's mouth"", 'Puzza osteomyelitis']",6
